box1,maze1,boxed,channel1,bend1,walls1

empty
9,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,3,

9,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,1,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,3,

maze1
3,0,9,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,

2,3,9,2,2,0,0,2,
2,2,0,2,2,0,1,2,
0,0,0,0,0,0,0,0,
0,2,2,0,2,0,2,2,
0,2,0,0,2,0,0,0,
0,2,0,2,2,2,0,2,
0,2,0,0,0,2,1,0,
0,1,2,2,0,0,0,0,

boxed
9,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
1,1,1,1,1,1,1,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,1,1,1,1,1,1,1,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,3

9,0,0,0,2,0,0,0,
0,0,2,0,0,0,2,3,
1,2,2,2,2,2,2,1,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
1,1,1,1,1,1,1,1,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,

channel1
9,1,3,0,0,0,0,0,
0,0,0,1,1,1,1,0,
0,1,0,1,1,0,0,0,
0,2,0,1,1,0,1,1,
0,1,1,1,1,0,0,1,
0,1,0,0,0,1,0,0,
0,1,0,1,0,1,1,0,
0,0,0,1,0,0,0,0,

9,1,3,0,0,0,0,0,
0,2,0,1,1,1,1,0,
0,1,0,1,1,0,0,0,
0,0,0,1,1,0,1,1,
0,1,1,1,1,0,0,1,
0,1,0,0,0,1,0,0,
0,1,0,1,0,1,1,0,
0,0,0,1,0,0,0,0,

bend1
9,0,0,0,2,2,2,2,
0,0,0,0,2,0,0,0,
0,0,0,0,2,0,2,0,
0,0,0,0,2,0,2,0,
0,0,0,1,2,0,2,0,
0,0,0,0,0,0,2,0,
0,0,0,0,2,0,2,0,
0,0,0,0,2,0,2,3,

9,0,2,0,0,0,0,0,
0,0,2,0,0,0,0,0,
0,0,2,2,2,2,2,0,
0,0,2,0,0,0,2,0,
0,0,2,0,2,0,2,0,
0,0,2,0,2,0,2,0,
0,1,2,0,2,0,2,2,
0,0,0,0,2,0,0,3,

walls1
9,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,1,1,1,1,1,
0,0,0,1,0,0,0,0,
0,0,0,1,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,3,

9,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
0,0,0,1,1,1,0,0,
0,0,0,1,0,0,0,0,
0,0,0,1,0,0,0,0,
0,0,0,1,0,0,0,0,
0,0,0,1,0,0,0,3,

box1
9,0,0,0,0,0,0,0,
0,1,1,1,1,1,1,0,
0,1,0,0,0,0,1,0,
0,1,0,0,0,0,1,0,
0,1,0,0,0,0,1,0,
0,1,0,0,0,0,1,0,
0,0,1,1,1,1,1,0,
0,0,0,2,0,0,0,3,

9,0,0,0,0,0,0,0,
0,1,1,1,1,1,0,0,
0,1,0,0,0,0,1,0,
0,1,0,0,0,0,1,2,
0,1,0,0,0,0,1,0,
0,1,0,0,0,0,1,0,
0,1,1,1,1,1,1,0,
0,0,0,0,0,0,0,3,

